# =========================================================
# Problema: Projeto de rede de especialistas 3 niveis
# Joao Flavio F. Almeida, 	<joao.flavio@dep.ufmg.br>
# Horacio Faria <horaciofaria@gmail.com>
# Leonardo <leomarie@gmail.com>
# Hugo Rodrigues <hugonr@gmail.com>
# Virginia 			<vmmagalhaes@nescon.medicina.ufmg.br>
# Data   : 01/02/2021
# Versao: 12.0: Estado (27 - Alagoas)
# ===========================================================

data;

param Distmax:=
1 80  # 80
2 120 # + 120
3 200; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
2	10000
3	30000
;

param DurUpper:=
1 0.51 
2 1.0 
3 2.1;

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
#	co_municipio	#	no_municipio	qtd_realizado
	270030	#	ARAPIRACA	279
	270430	#	MACEIO	1149
;

# CODIGO	REGIAO	ESTADO	LAT	LONG	POPULACAO 2030	CAP	MUNICIPIO
param: I :	RE	ES	lat	lng	POP	INFR	Mun :=
270570	2	27	-9.53	-37.30	23121	1	'Olho_Dagua_Das_Flores'
270580	2	27	-9.50	-37.84	10034	1	'Olho_Dagua_Do_Casado'
270590	2	27	-10.06	-36.81	5519	1	'Olho_Dagua_Grande'
270600	2	27	-9.52	-37.19	12501	1	'Olivenca'
270610	2	27	-9.16	-37.35	12356	1	'Ouro_Branco'
270620	2	27	-9.67	-37.33	5377	1	'Palestina'
270630	2	27	-9.41	-36.63	78838	0	'Palmeira_Dos_Indios'
270640	2	27	-9.75	-37.44	26366	1	'Pao_De_Acucar'
270642	2	27	-9.26	-38.01	11354	1	'Pariconha'
270644	2	27	-9.47	-35.56	14038	1	'Paripueira'
270650	2	27	-9.24	-35.49	16428	1	'Passo_De_Camaragibe'
270660	2	27	-9.37	-36.37	8162	1	'Paulo_Jacinto'
270670	2	27	-10.30	-36.58	68505	0	'Penedo'
270680	2	27	-10.41	-36.43	19204	1	'Piacabucu'
270690	2	27	-9.61	-35.95	37758	0	'Pilar'
270700	2	27	-9.48	-36.29	3140	1	'Pindoba'
270710	2	27	-9.62	-37.75	26846	0	'Piranhas'
270720	2	27	-9.30	-37.28	15481	1	'Poco_Das_Trincheiras'
270730	2	27	-9.05	-35.40	29206	0	'Porto_Calvo'
270740	2	27	-9.16	-35.30	8491	1	'Porto_De_Pedras'
270750	2	27	-10.17	-36.82	21590	1	'Porto_Real_Do_Colegio'
270760	2	27	-9.32	-36.48	12233	0	'Quebrangulo'
270770	2	27	-9.49	-35.85	80716	0	'Rio_Largo'
270780	2	27	-9.83	-35.98	7205	1	'Roteiro'
270790	2	27	-9.60	-35.82	7843	1	'Santa_Luzia_Do_Norte'
270800	2	27	-9.37	-37.25	51216	0	'Santana_Do_Ipanema'
270810	2	27	-9.17	-36.23	11600	1	'Santana_Do_Mundau'
270820	2	27	-10.12	-36.90	7499	0	'Sao_Bras'
270830	2	27	-9.01	-36.06	25729	1	'Sao_Jose_Da_Laje'
270840	2	27	-9.55	-37.38	34633	0	'Sao_Jose_Da_Tapera'
270850	2	27	-9.31	-35.57	37118	0	'Sao_Luis_Do_Quitunde'
270860	2	27	-9.78	-36.09	65549	0	'Sao_Miguel_Dos_Campos'
270870	2	27	-9.27	-35.37	8508	1	'Sao_Miguel_Dos_Milagres'
270880	2	27	-9.93	-36.55	36682	1	'Sao_Sebastiao'
270890	2	27	-9.57	-35.83	14793	1	'Satuba'
270895	2	27	-9.46	-37.45	14903	1	'Senador_Rui_Palmeira'
270900	2	27	-9.53	-36.44	6673	1	'Tanque_Darca'
270910	2	27	-9.64	-36.50	21448	1	'Taquarana'
270915	2	27	-9.91	-36.36	47413	0	'Teotonio_Vilela'
270920	2	27	-9.97	-37.01	29802	1	'Traipu'
270930	2	27	-9.16	-36.03	70603	0	'Uniao_Dos_Palmares'
270940	2	27	-9.38	-36.25	27797	0	'Vicosa'



# CODIGO	REGIAO	ESTADO	LAT	LONG	POPULACAO 2018	CAP	MUNICIPIO
# 270010	2	27	-9.27	-37.94	20162	0	'Agua_Branca'
# 270020	2	27	-9.68	-36.30	17564	0	'Anadia'
# 270030	2	27	-9.76	-36.66	230417	0	'Arapiraca'
# 270040	2	27	-9.50	-36.02	47000	0	'Atalaia'
# 270050	2	27	-9.41	-35.50	15792	0	'Barra_De_Santo_Antonio'
# 270060	2	27	-9.84	-35.91	8264	0	'Barra_De_Sao_Miguel'
# 270070	2	27	-9.67	-37.13	18455	0	'Batalha'
# 270080	2	27	-9.57	-36.49	4406	0	'Belem'
# 270090	2	27	-9.83	-37.28	6696	0	'Belo_Monte'
# 270100	2	27	-9.65	-36.21	27168	0	'Boca_Da_Mata'
# 270110	2	27	-9.25	-36.02	10529	0	'Branquinha'
# 270120	2	27	-9.41	-37.00	10730	0	'Cacimbinhas'
# 270130	2	27	-9.39	-36.16	21194	0	'Cajueiro'
# 270135	2	27	-8.85	-35.57	6918	0	'Campestre'
# 270140	2	27	-9.78	-36.35	56579	0	'Campo_Alegre'
# 270150	2	27	-9.96	-36.79	9549	0	'Campo_Grande'
# 270160	2	27	-9.12	-37.61	17726	0	'Canapi'
# 270170	2	27	-9.41	-36.08	17124	0	'Capela'
# 270180	2	27	-9.48	-37.37	9000	0	'Carneiros'
# 270190	2	27	-9.26	-36.30	7319	0	'Cha_Preta'
# 270200	2	27	-9.64	-36.58	10744	0	'Coite_Do_Noia'
# 270210	2	27	-8.91	-35.72	21575	0	'Colonia_Leopoldina'
# 270220	2	27	-9.64	-35.80	5826	0	'Coqueiro_Seco'
# 270230	2	27	-10.13	-36.18	56562	0	'Coruripe'
# 270235	2	27	-9.62	-36.77	24129	0	'Craibas'
# 270240	2	27	-9.38	-38.00	51763	0	'Delmiro_Gouveia'
# 270250	2	27	-9.39	-37.09	11054	0	'Dois_Riachos'
# 270255	2	27	-9.39	-36.76	18153	0	'Estrela_De_Alagoas'
# 270260	2	27	-9.90	-36.68	22152	0	'Feira_Grande'
# 270270	2	27	-10.29	-36.31	4729	0	'Feliz_Deserto'
# 270280	2	27	-9.27	-35.72	12773	0	'Flexeiras'
# 270290	2	27	-9.89	-36.83	40588	0	'Girau_Do_Ponciano'
# 270300	2	27	-8.98	-35.93	15606	0	'Ibateguara'
# 270310	2	27	-9.53	-36.63	25649	0	'Igaci'
# 270320	2	27	-10.13	-36.65	24408	0	'Igreja_Nova'
# 270330	2	27	-9.22	-37.75	18378	0	'Inhapi'
# 270340	2	27	-9.64	-37.21	5288	0	'Jacare_Dos_Homens'
# 270350	2	27	-8.84	-35.46	7036	0	'Jacuipe'
# 270360	2	27	-9.09	-35.26	8317	0	'Japaratinga'
# 270370	2	27	-9.66	-37.00	5597	0	'Jaramataia'
# 270375	2	27	-10.01	-36.03	11624	0	'Jequia_Da_Praia'
# 270380	2	27	-9.14	-35.75	23903	0	'Joaquim_Gomes'
# 270390	2	27	-8.94	-35.56	4175	0	'Jundia'
# 270400	2	27	-9.93	-36.47	24731	0	'Junqueiro'
# 270410	2	27	-9.83	-36.74	17934	0	'Lagoa_Da_Canoa'
# 270420	2	27	-9.74	-36.50	28495	0	'Limoeiro_De_Anadia'
# 270430	2	27	-9.66	-35.70	1012382	1	'Maceio'
# 270440	2	27	-9.53	-36.98	19891	0	'Major_Isidoro'
# 270450	2	27	-9.02	-35.22	32369	0	'Maragogi'
# 270460	2	27	-9.23	-37.36	9326	0	'Maravilha'
# 270470	2	27	-9.74	-35.89	51364	0	'Marechal_Deodoro'
# 270480	2	27	-9.58	-36.31	13337	0	'Maribondo'
# 270490	2	27	-9.45	-36.39	3534	0	'Mar_Vermelho'
# 270500	2	27	-9.11	-37.73	25226	0	'Mata_Grande'
# 270510	2	27	-9.16	-35.53	24649	0	'Matriz_De_Camaragibe'
# 270520	2	27	-9.39	-35.84	17676	0	'Messias'
# 270530	2	27	-9.30	-36.86	5337	0	'Minador_Do_Negrao'
# 270540	2	27	-9.60	-37.25	7153	0	'Monteiropolis'
# 270550	2	27	-9.32	-35.95	28137	0	'Murici'
# 270560	2	27	-8.94	-35.66	12615	0	'Novo_Lino'
# 270570	2	27	-9.53	-37.30	21437	0	'Olho_Dagua_Das_Flores'
# 270580	2	27	-9.50	-37.84	9303	0	'Olho_Dagua_Do_Casado'
# 270590	2	27	-10.06	-36.81	5117	0	'Olho_Dagua_Grande'
# 270600	2	27	-9.52	-37.19	11591	0	'Olivenca'
# 270610	2	27	-9.16	-37.35	11456	0	'Ouro_Branco'
# 270620	2	27	-9.67	-37.33	4985	0	'Palestina'
# 270630	2	27	-9.41	-36.63	73096	0	'Palmeira_Dos_Indios'
# 270640	2	27	-9.75	-37.44	24446	0	'Pao_De_Acucar'
# 270642	2	27	-9.26	-38.01	10527	0	'Pariconha'
# 270644	2	27	-9.47	-35.56	13016	0	'Paripueira'
# 270650	2	27	-9.24	-35.49	15232	0	'Passo_De_Camaragibe'
# 270660	2	27	-9.37	-36.37	7568	0	'Paulo_Jacinto'
# 270670	2	27	-10.30	-36.58	63516	0	'Penedo'
# 270680	2	27	-10.41	-36.43	17805	0	'Piacabucu'
# 270690	2	27	-9.61	-35.95	35008	0	'Pilar'
# 270700	2	27	-9.48	-36.29	2911	0	'Pindoba'
# 270710	2	27	-9.62	-37.75	24891	0	'Piranhas'
# 270720	2	27	-9.30	-37.28	14354	0	'Poco_Das_Trincheiras'
# 270730	2	27	-9.05	-35.40	27079	0	'Porto_Calvo'
# 270740	2	27	-9.16	-35.30	7873	0	'Porto_De_Pedras'
# 270750	2	27	-10.17	-36.82	20018	0	'Porto_Real_Do_Colegio'
# 270760	2	27	-9.32	-36.48	11342	0	'Quebrangulo'
# 270770	2	27	-9.49	-35.85	74838	0	'Rio_Largo'
# 270780	2	27	-9.83	-35.98	6680	0	'Roteiro'
# 270790	2	27	-9.60	-35.82	7272	0	'Santa_Luzia_Do_Norte'
# 270800	2	27	-9.37	-37.25	47486	0	'Santana_Do_Ipanema'
# 270810	2	27	-9.17	-36.23	10755	0	'Santana_Do_Mundau'
# 270820	2	27	-10.12	-36.90	6953	0	'Sao_Bras'
# 270830	2	27	-9.01	-36.06	23855	0	'Sao_Jose_Da_Laje'
# 270840	2	27	-9.55	-37.38	32111	0	'Sao_Jose_Da_Tapera'
# 270850	2	27	-9.31	-35.57	34415	0	'Sao_Luis_Do_Quitunde'
# 270860	2	27	-9.78	-36.09	60775	0	'Sao_Miguel_Dos_Campos'
# 270870	2	27	-9.27	-35.37	7888	0	'Sao_Miguel_Dos_Milagres'
# 270880	2	27	-9.93	-36.55	34011	0	'Sao_Sebastiao'
# 270890	2	27	-9.57	-35.83	13716	0	'Satuba'
# 270895	2	27	-9.46	-37.45	13818	0	'Senador_Rui_Palmeira'
# 270900	2	27	-9.53	-36.44	6187	0	'Tanque_Darca'
# 270910	2	27	-9.64	-36.50	19886	0	'Taquarana'
# 270915	2	27	-9.91	-36.36	43960	0	'Teotonio_Vilela'
# 270920	2	27	-9.97	-37.01	27632	0	'Traipu'
# 270930	2	27	-9.16	-36.03	65461	0	'Uniao_Dos_Palmares'
# 270940	2	27	-9.38	-36.25	25773	0	'Vicosa'
;

end;
